latitude,longitude,name,kecamatan,wilayah
-7.3015068,112.7424014,Pertamina Office Building Surabaya Indonesia,Wonokromo,Surabaya Selatan
-7.2713189,112.7967987,SPBU Pertamina 54.601.02 Mulyosari,Mulyorejo,Surabaya Timur
-7.2864205,112.7756783,SPBU Pertamina - Klampis Jaya,Sukolilo,Surabaya Timur
-7.2807898,112.7716522,SPBU Pertamina 54.602.39 - Kertajaya,Mulyorejo,Surabaya Timur
-7.2902071,112.7843012,SPBU Pertamina Arief Rahman Hakim,Sukolilo,Surabaya Timur
-7.2967219,112.7424127,SPBU Pertamina 54.601.100 - Ngagel,Wonokromo,Surabaya Selatan
-7.2887739,112.758316,SPBU Pertamina 54.601.93 - Ngagel Jaya,Gubeng,Surabaya Timur
-7.2770826,112.7461336,SPBU Pertamina 54.601.88 - Sulawesi,Wonokromo,Surabaya Selatan
-7.286307,112.7454835,SPBU Pertamina 54.601.81,Tegalsari,Surabaya Pusat
-7.3064949,112.7601032,Pertamina Gas Station,Tenggilis Mejoyo,Surabaya Timur
-7.308686,112.7679717,SPBU Pertamina 54.602.64 - Panjang Jiwo,Tenggilis Mejoyo,Surabaya Timur
-7.2668586,112.7684227,SPBU Pertamina 54.601.06,Gubeng,Surabaya Timur
-7.3008922,112.7813709,Pertamina Gas Station 54.601.47,Sukolilo,Surabaya Timur
-7.3003633,112.7695286,SPBU Pertamina,Sukolilo,Surabaya Timur
-7.2999354,112.7617786,SPBU Pertamina 54.601.109 - Nginden,Gubeng,Surabaya Timur
-7.242937,112.7592673,SPBU Pertamina 54.601.42,Simokerto,Surabaya Pusat
-7.254392,112.7497455,SPBU Pertamina 54.60.184,Genteng,Surabaya Pusat
-7.2698415,112.7463672,SPBU Pertamina 54.601.79,Genteng,Surabaya Pusat
-7.2683906,112.7510598,SPBU Pertamina 54.601.90 - Gubeng,Gubeng,Surabaya Timur
-7.2845417,112.7339461,SPBU-SURABAYA SOETOMO,Tegalsari,Surabaya Pusat
-7.2918949,112.7233221,SPBU Pertamina 54.602.13,Sawahan,Surabaya Selatan
-7.2501147,112.7646737,SPBU Pertamina 54.601.03,Tambaksari,Surabaya Timur
-7.2789667,112.7295836,SPBU Pertamina,Wonokromo,Surabaya Selatan
-7.2630138,112.7262109,Pertamina Gas Station,Sawahan,Surabaya Selatan
-7.2563337,112.7190309,SPBU Pertamina 54.601.106,Sawahan,Surabaya Selatan
-7.2509032,112.7300071,SPBU Pertamina 54.601.32,Bubutan,Surabaya Pusat
-7.2483439,112.7211967,SPBU Pertamina 54.601.83,Bubutan,Surabaya Pusat
-7.2603241,112.6935177,SPBU Pertamina 54.601.75,Sukomanunggal,Surabaya Barat
-7.2843832,112.6911674,SPBU Pertamina 54.602.45,Dukuh Pakis,Surabaya Selatan
-7.235401,112.735148,SPBU Pertamina 54.601.91,Krembangan,Surabaya Utara
-7.2783344,112.8076839,SPBU-SURABAYA PAKUWON CITY,Mulyorejo,Surabaya Timur
-7.3339348,112.7294243,SPBU Pertamina 54.601.80 - A. Yani,Gayungan,Surabaya Selatan
-7.3200687,112.746592,Pertamina Gas Station 51.601.65,Wonocolo,Surabaya Selatan
-7.3215199,112.7699445,SPBU Pertamina 54.602.56 - Kali Rungkut,Rungkut,Surabaya Timur
-7.252472,112.7352152,SPBU Pertamina 53.601.125,Bubutan,Surabaya Pusat
-7.245498,112.729402,SPBU-SURABAYA PASAR TURI,Bubutan,Surabaya Pusat
-7.3081903,112.6717107,SPBU Pertamina 54.602.55,Lakarsantri,Surabaya Barat
-7.3066968,112.6637871,SPBU Pertamina 54.601.105,Lakarsantri,Surabaya Barat
-7.2850099,112.6755773,SPBU Pertamina 54.602.72,Wiyung,Surabaya Selatan
-7.2588321,112.6791323,SPBU Pertamina Balong Sari 54.601.33,Tandes,Surabaya Barat
-7.2552658,112.6626787,Banjar Sugihan Pertamina Gas Station,Tandes,Surabaya Barat
-7.2456581,112.6832696,SPBU Pertamina 54.601.112,Asemrowo,Surabaya Barat
-7.2439508,112.6818276,SPBU Pertamina 54.601.94 Margomulyo,Asemrowo,Surabaya Barat
-7.2138486,112.6531515,SPBU 54.601.12,Benowo,Surabaya Barat
-7.2369298,112.6186777,Gas Station Pertamina Pakal 54.601.73,Pakal,Surabaya Barat
-7.300635,112.6621965,SPBU Pertamina 54.601.119,Lakarsantri,Surabaya Barat
-7.2578999,112.6809777,SPBU Pertamina Karangpoh,Tandes,Surabaya Barat
-7.2757154,112.7073371,SPBU Pertamina 54.601.04,Sukomanunggal,Surabaya Barat
-7.2658645,112.7065295,SPBU Pertamina 54.601.16,Sukomanunggal,Surabaya Barat
-7.2640609,112.6874736,SPBU Pertamina 54.601.35,Tandes,Surabaya Barat
-7.2854165,112.6975859,SPBU Pertamina 54.602.63,Sukomanunggal,Surabaya Barat
-7.2897066,112.7105148,SPBU Pertamina 54.60259 Mayjend Sungkono,Dukuh Pakis,Surabaya Selatan
-7.3325501,112.6918773,SPBU Pertamina 54.601.114,Wiyung,Surabaya Selatan
-7.3388889,112.6994444,SPBU Pertamina 54.602.50,Karang Pilang,Surabaya Selatan
-7.3134602,112.6984878,SPBU Pertamina 54.602.62,Wiyung,Surabaya Selatan
-7.2518923,112.634603,Pertamina Petrol Kendung 54.601.126,Benowo,Surabaya Barat
-7.2294086,112.6765076,SPBU Pertamina 54.601.08,Asemrowo,Surabaya Barat
-7.2320899,112.7735615,SPBU Pertamina 54.601.116,Bulak,Surabaya Utara
-7.2417943,112.7573586,SPBU Pertamina 54.601.120,Simokerto,Surabaya Pusat
-7.2330156,112.7275726,SPBU Pertamina 54.601.20,Krembangan,Surabaya Utara
-7.2514938,112.7917606,SPBU Pertamina 54.601.15 - Kenjeran,Mulyorejo,Surabaya Timur
-7.222738,112.7364131,SPBU Pertamina 54.601.95,Pabean Cantian,Surabaya Utara
-7.2293599,112.7086492,SPBU Pertamina 54.601.123,Krembangan,Surabaya Utara
